time;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;djf;mam;jja;son;winter;summer;year
2007;3.67;4.29;5.14;13;14.05;16.81;17.22;16.66;12.62;8.92;2.66;0.32;3.38;10.73;16.9;8.07;5.72;15.06;9.61
2008;2.67;3.07;4.09;7.46;14.67;16.88;17.89;17.31;12.17;9.53;4.26;0.23;2.02;8.74;17.36;8.65;3.62;14.4;9.18
2009;-2.2;0.08;4.03;11.03;15.15;16.1;18.39;19.45;15.11;9.28;6.85;0.76;-0.63;10.07;17.98;10.41;2.65;15.87;9.5
2010;-2.21;0.37;4.04;9.48;11.3;16.38;19.87;16.82;12.85;8.61;4.72;-1.1;-0.36;8.27;17.69;8.73;3.18;14.45;8.43
2011;0.75;2.21;5.98;11.87;14.83;16.4;16.09;18.8;15.95;9.34;5.23;3.07;0.62;10.89;17.1;10.17;3.53;15.66;10.04
2012;1.61;-3.85;7.29;8.44;13.76;17.11;17.72;19.1;13.87;9.67;5.44;1.51;0.28;9.83;17.98;9.66;3.78;15;9.3
2013;0.18;-1.65;2.47;8.55;10.43;15.67;20;18.17;14.34;11.26;3.74;1.27;0.01;7.15;17.95;9.78;2.93;14.53;8.7
2014;2.62;3.49;6.55;10.37;12.08;17.41;17.28;16.03;14.81;12.13;6.71;2.71;2.46;9.67;16.9;11.22;4.82;14.66;10.18
2015;1.44;-0.35;5.86;9.49;13.52;17.66;21.8;19.49;12.83;8.79;6.92;3.86;1.27;9.62;19.65;9.52;4.75;15.8;10.11
2016;2.33;3.48;4.15;8.48;12.28;16.04;19.08;18.62;16.28;8.35;4.82;0.57;3.22;8.3;17.91;9.81;4.92;15.13;9.54
2017;-2.95;3.62;7.82;8.45;14.07;19.29;19.12;19.08;12.58;10.75;4.2;0.98;0.41;10.11;19.16;9.18;3.7;15.43;9.75
2018;4.3;-1.53;3.55;12.42;14.6;17.91;20.39;19.96;15.94;10.87;5.33;3.14;1.25;10.19;19.42;10.71;3.71;16.87;10.57
2019;-0.38;3.1;6.42;8.69;10.42;18.88;20.31;18.65;14.84;11.44;4.94;3.62;1.95;8.51;19.28;10.41;4.75;15.3;10.08
2020;2.04;5.5;5.46;11.79;NA;NA;NA;NA;NA;NA;NA;NA;3.72;NA;NA;NA;5.5;NA;NA
